Estudio	Ensayo	chi2	L	P	Inh	Trest	Trelative	C_h	Tipo_red
Chi30_zscore_L20	129	79087.8663	26	0.42142455059249795	0.8926717110769748	8.17443561738441	11.592609134363169	0.2594234334312925	1
Chi30_zscore_L20	130	79087.8663	26	0.26806364082287626	0.624148907849134	4.0941165219124045	9.614588330432207	0.4361265291353167	0
Chi30_zscore_L20	133	79087.8663	29	0.9844021807035521	0.5256901823026858	1.716792858483035	4.439866123676724	0.018390676547466733	2
Chi30_zscore_L20	137	79087.8663	28	0.08279866792512647	0.6031521094663882	2.4534910968132095	6.346447237232975	0.28869373677069987	1
Chi30_zscore_L20	138	79087.8663	27	0.297121715623175	0.5664046402968972	4.760504021990997	11.397215675617478	0.936829739324758	2
Chi30_zscore_L20	140	114.1200	23	0.7709122037458219	0.1065982531337718	0.7513778173580876	8.03326537939412	0.49549131620619846	2
Chi30_zscore_L20	142	79087.8663	23	0.09158207332663415	0.9173135754622428	1.368186309189614	10.870559847397638	0.44600577295795574	0
Chi30_zscore_L20	147	79087.8663	29	0.03700763471549262	0.596269878482053	2.3000883728770303	3.5057572306498184	0.07695320162920916	2
Chi30_zscore_L20	148	79087.8663	23	0.7247667715287615	0.06535634079894237	3.152903378306103	8.547816302059475	0.7907231648389635	0
Chi30_zscore_L20	149	79087.8663	26	0.8859777482361871	0.6158631881823046	2.329594747536338	2.5736025631017183	0.8700988739009299	0
Chi30_zscore_L20	150	79087.8663	29	0.528937134027212	0.9390676985128962	7.987832357736654	17.96717346307003	0.35071181545171015	2
Chi30_zscore_L20	154	1721.8157	22	0.9499611839502253	0.786345014415552	0.8941100231225951	5.0699177809718785	0.8791183075621647	2
Chi30_zscore_L20	156	79087.8663	26	0.5126885110165086	0.2306698117177587	1.7652803200550826	3.970142410756836	0.18643826214425452	2
Chi30_zscore_L20	157	79087.8663	23	0.05784267656339637	0.9691026301408113	8.837858849634257	18.11538168158639	0.9949078226464353	0
Chi30_zscore_L20	159	685.7936	25	0.5929399348417032	0.5800862078378112	0.9148683739775487	9.689477000281354	0.26560004258870606	0
Chi30_zscore_L20	160	79087.8663	29	0.9556514982297534	0.8621276172654506	8.09516074724878	14.647580553638997	0.5508573706091393	0
Chi30_zscore_L20	162	79087.8663	27	0.07613085949030018	0.8512069140487687	4.951465270139743	9.757331043406223	0.5924077846595176	2
